Airspace,Name,Limits,Frequencies
TMA-SP1,,"A FL145/FL245, C 5500'/FL145",APP-SP 129.500
TMA-SP2,,C 3600'/5500',APP-SP 129.500
FIZ-SDAM,AMARAIS,GND/3600',RADIO 118.125
FIZ-SBST,SANTOS,MSL/5500',RÁDIO 118.650
FIZ-SBJH,CATARINA,G GND/5500',RÁDIO 131.800
FIZ-SBBP,BRAGANÇA PTA.,GND/1600'AGL,RÁDIO 125.700
CTR-SBGR,GUARULHOS,C GND/3600',"TWR 132.750 / 135.200 / 118.400, ATIS 127.750"
CTR-SBGW,GUARATINGUETÁ,D GND/FL085,"APP 120.150, TWR 118.150"
CTR-SBKP,VIRACOPOS,C GND/3700',"TWR 118.250, ATIS 127.825"
CTR-SBSJ,SÃO J. CAMPOS,C GND/5500',"APP 124.150, TWR 118.500, ATIS 127.925"
CTR-SBSP,CONGONHAS,D GND/3600',"TWR 127.150, ATIS 127.650"
CTR-SBTA,TAUBATÉ,D GND/FL085,"TWR 119.900, GNDC 121.700"
ATZ-SDAI,AMERICANA,GND/1500'AGL,FCA 135.025
ATZ-SDCO,SOROCABA,GND/1500'AGL,"TWR 118.800, ATIS 127.775"
ATZ-SDIM,ITANHAÉM,GND/1500'AGL,FCA 124.925
ATZ-SDUB,UBATUBA,GND/1500'AGL,FCA 124.525
CTR-SBJD,JUNDIAÍ,D GND/4500' MSL,"TWR 118.750, GNDC 121.650"
ATZ-SBMT,CAMPO DE MARTE,GND/3700' MSL,"TWR 133.350, GNDC 121.600, ATIS 127.725"
ATZ-SDTB,ATIBAIA,GND/3600',FCA 126.250
ATZ-SDTK,PARATI,GND/1500'AGL,FCA 126.025
CTA-CW 3,,"A FL145/FL245, C FL105/FL145","APP-RJ 121.350, 123.900"
TMA-SP2,,C 3600'/5500',APP-SP 129.500
